"107-108年電視劇節目製作題材元素","",""
"","",""
"1. 類型元素之命名及採用乃參考英國電影協會（British Film Institute）之類型項目，並新增軍教、醫療、美食、政治及武俠。                
2. 此為本研究針對2017~2019年新製之電視劇以人工判斷，每齣電視劇至多歸屬三個類型（考量電視劇製作目的及性質差異，不包含大愛電視劇、人生劇展等單元劇）。                
資料來源：台灣經濟研究院盤點整理自歷年電視節目表。                ","",""
"T","C","R"
"年(民國)","","%"
"","","0"
"年度","題材元素類型","比例"
"107","犯罪","0"
"107","奇幻","3.9"
"107","政治","1.3"
"107","美食","0"
"107","軍教","1.3"
"107","家庭","23.380000000000003"
"107","喜劇","10.39"
"107","浪漫","36.36"
"107","歷史(時代)/傳記","5.19"
"107","醫療","3.9"
"107","懸疑","3.9"
"107","勵志","6.49"
"107","動作","0"
"107","推理","3.9"
"108","犯罪","4.41"
"108","奇幻","8.82"
"108","政治","2.94"
"108","美食","1.47"
"108","軍教","2.94"
"108","家庭","19.12"
"108","喜劇","2.94"
"108","浪漫","39.71"
"108","歷史(時代)/傳記","5.88"
"108","醫療","1.47"
"108","懸疑","4.41"
"108","勵志","4.41"
"108","動作","0"
"108","推理","1.47"
