產業,性別,總計,民意代表、主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農、林、漁、牧業生產人員,技藝有關工作人員、機械設備操作及勞力工
出版業,男性,16087,1579,7739,3739,2275,37,0,718
出版業,女性,26123,263,12421,5945,6912,222,0,360
出版業,合計,42210,1842,20160,9684,9187,259,0,1078
專門設計業,男性,27342,1009,22215,3511,491,0,0,116
專門設計業,女性,37808,510,26797,6389,3764,0,0,348
專門設計業,合計,65150,1519,49012,9900,4255,0,0,464
創作及藝術表演業,男性,11320,32,8748,1299,80,82,0,1079
創作及藝術表演業,女性,10828,455,6416,2385,1116,178,0,278
創作及藝術表演業,合計,22148,487,15164,3684,1196,260,0,1357
廣播、電視節目編排及傳播業,男性,11749,1129,3881,5081,722,0,0,936
廣播、電視節目編排及傳播業,女性,12386,515,4519,3972,3360,20,0,0
廣播、電視節目編排及傳播業,合計,24135,1644,8400,9053,4082,20,0,936
運動、娛樂及休閒服務業,男性,36595,950,675,10361,6847,8636,243,8883
運動、娛樂及休閒服務業,女性,31928,1355,914,6087,11184,7529,80,4779
運動、娛樂及休閒服務業,合計,68523,2305,1589,16448,18031,16165,323,13662
廣告業及市場研究業,男性,14640,1622,4982,4168,997,259,0,2612
廣告業及市場研究業,女性,23031,1695,9271,5675,5784,0,0,606
廣告業及市場研究業,合計,37671,3317,14253,9843,6781,259,0,3218
影片及電視節目業；聲音錄製及音樂發行業,男性,8112,288,3193,3412,229,633,0,357
影片及電視節目業；聲音錄製及音樂發行業,女性,7850,318,2544,2659,1328,629,0,372
影片及電視節目業；聲音錄製及音樂發行業,合計,15962,606,5737,6071,1557,1262,0,729
總就業人數,男性,125845,6609,51433,31571,11641,9647,243,14701
總就業人數,女性,149954,5111,62882,33112,33448,8578,80,6743
總就業人數,合計,275799,11720,114315,64683,45089,18225,323,21444
各類型人力占比,男性,45.63%,2.40%,18.65%,11.45%,4.22%,3.50%,0.09%,5.33%
各類型人力占比,女性,54.37%,1.85%,22.80%,12.00%,12.13%,3.11%,0.03%,2.44%
各類型人力占比,合計,100.00%,4.25%,41.45%,23.45%,16.35%,6.61%,0.12%,7.77%
